47,84,05,물리?화학적 가공기술
47,84,06,염색설비
47,84,07,가공설비
47,84,08,염료/조제
47,84,09,가공제/약제
47,84,10,기타</UL></LI>
47,85,00,섬유제품
47,85,01,부직포제조
47,85,02,부직포가공기술
47,85,03,봉제기술
47,85,04,의류패션
47,85,05,편직기술
47,85,06,섬유제품설비
47,85,07,산업용섬유제품
47,85,08,나노섬유제품기술
47,85,09,융합섬유제품
47,85,10,기타 섬유제품기술
47,86,00,정밀화학
47,86,01,의약 중간체/원제
47,86,02,의약제제
47,86,03,농약 중간체/원제
47,86,04,농약제제
47,86,05,염/안료 및 중간체
47,86,06,계면활성제
47,86,07,윤활유
47,86,08,첨가제
47,86,09,도료/코팅제
47,86,10,접착제/실란트
47,86,11,유?무기재료 및 촉매
47,86,12,감광재료
47,86,13,화장품/소재
47,86,14,전자산업용 정밀화학소재
47,86,15,나노응용기술
47,86,16,기타 합성응용제품</UL>
47,87,00,고분자재료
47,87,01,중합반응/공정기술
47,87,02,개질기술
47,87,03,복합재료제조기술
47,87,04,전기?전자정보용 소재기술
47,87,05,의료용 소재기술
47,87,06,에너지?환경산업용 소재기술
47,87,07,특수기능성 소재기술
47,87,08,고분자 재활용기술
47,87,09,고분자가공기술
47,87,10,나노소재기술
47,87,11,기타 고분자 재료</UL></LI
47,88,00,화학공정
47,88,01,석유화학 부산물 응용 기
47,88,02,촉매 제조기술
47,88,03,공정시스템기술
47,88,04,공정설비기술
47,88,05,기초유기소재공정기술
47,88,06,기초무기소재공정기술
47,88,07,기타 화학공정</UL><
47,89,00,화학제품
47,89,01,제지
47,89,02,연료전지
47,89,03,인조피혁
47,89,04,천연피혁
47,89,05,문구,완구,악기,가구 등
47,89,06,전통고유기술
47,89,07,스포츠용품
47,89,08,고무(타이어포함)
47,89,09,산업디자인
47,89,10,기타 화학제품</UL></L
47,90,00,대기/폐기물
47,90,01,폐기물처리 및 재활용 기술
47,90,02,대기오염 방지기술
47,90,03,에너지절감/대체에너지 기술
47,90,04,환경설비기술
47,90,05,환경산업 부품?소재기술
47,90,06,기타 환경산업기술</UL></L
47,91,00,수질/토양
47,91,01,수질오염 방지기술
47,91,02,토양오염 방지기술
47,91,03,해양오염 방지기술
47,91,04,에너지절감/대체에너지 기술
47,91,05,환경설비 기술
47,91,06,환경산업부품?소재기술
47,91,07,기타 환경산업기술</UL></L
47,92,00,생물소재/제품
47,92,01,생물의약품/소재
47,92,02,생물화장품/소재
